Version,Property,Edits,Min Distance,Max Distance,Average Distance
name,2015-10-09,25,1,54,12.44
name,2015-11-05,614,1,52,2.457654723127036
name,2015-12-01,10,1,54,15.2
name,2015-12-14,4,6,6,6.0
name,2016-01-21,76,1,38,17.026315789473685
name,2016-01-25,17,1,38,8.941176470588236
name,2016-02-29,66,1,49,11.666666666666666
name,2016-04-01,43,1,55,10.906976744186046
name,2016-04-28,84,1,81,16.13095238095238
name,2016-05-31,42,1,56,11.857142857142858
name,2016-06-30,87,1,83,12.229885057471265
name,2016-07-28,3076,1,40,6.742847854356307
name,2016-09-06,41,1,38,8.926829268292684
name,2016-09-30,8,1,16,6.625
name,2016-11-02,12,1,25,6.0
name,2016-12-06,8,2,35,16.125
name,2017-01-10,12,1,52,16.166666666666668
name,2017-01-31,16,1,23,8.5625
name,2017-03-08,35,1,33,9.514285714285714
name,2017-04-04,36,1,70,16.833333333333332
name,2017-05-22,46,1,41,10.5
name,All,4358,0,83,7.04726938962827
wikipedia_url,2015-10-09,36,0,93,25.194444444444443
wikipedia_url,2015-11-05,1248,0,101,15.853365384615385
wikipedia_url,2015-12-01,3862,0,131,19.90341791817711
wikipedia_url,2015-12-14,10,0,99,47.2
wikipedia_url,2016-01-21,98,0,90,14.785714285714286
wikipedia_url,2016-01-25,5,0,71,46.8
wikipedia_url,2016-02-29,1331,0,121,21.575507137490607
wikipedia_url,2016-04-01,469,0,108,44.15138592750533
wikipedia_url,2016-04-28,422,0,96,40.52132701421801
wikipedia_url,2016-05-31,158,0,99,37.734177215189874
wikipedia_url,2016-06-30,47,0,99,43.680851063829785
wikipedia_url,2016-07-28,3864,0,136,27.61904761904762
wikipedia_url,2016-09-06,1407,0,105,20.427149964463396
wikipedia_url,2016-09-30,24,0,100,44.625
wikipedia_url,2016-11-02,6,7,81,53.833333333333336
wikipedia_url,2016-12-06,13,0,72,28.846153846153847
wikipedia_url,2017-01-10,28,0,88,39.892857142857146
wikipedia_url,2017-01-31,23,0,100,31.652173913043477
wikipedia_url,2017-03-08,67,0,84,31.34328358208955
wikipedia_url,2017-04-04,20,0,91,38.55
wikipedia_url,2017-05-22,734,0,88,54.33651226158038
wikipedia_url,All,13872,0,136,25.669117647058822
email_address,2015-10-09,0,,,
email_address,2015-11-05,0,,,
email_address,2015-12-01,0,,,
email_address,2015-12-14,0,,,
email_address,2016-01-21,0,,,
email_address,2016-01-25,0,,,
email_address,2016-02-29,0,,,
email_address,2016-04-01,0,,,
email_address,2016-04-28,0,,,
email_address,2016-05-31,0,,,
email_address,2016-06-30,0,,,
email_address,2016-07-28,0,,,
email_address,2016-09-06,0,,,
email_address,2016-09-30,0,,,
email_address,2016-11-02,0,,,
email_address,2016-12-06,0,,,
email_address,2017-01-10,0,,,
email_address,2017-01-31,0,,,
email_address,2017-03-08,0,,,
email_address,2017-04-04,0,,,
email_address,2017-05-22,0,,,
email_address,All,0,0,0,0
links,2015-10-09,23,0,2,1.0434782608695652
links,2015-11-05,857,1,2,1.0070011668611436
links,2015-12-01,4156,1,2,1.003609239653513
links,2015-12-14,15,0,2,1.3333333333333333
links,2016-01-21,35,0,2,1.4
links,2016-01-25,15,0,2,1.6
links,2016-02-29,1639,0,2,0.9658328248932275
links,2016-04-01,518,0,3,1.0424710424710424
links,2016-04-28,630,0,2,1.0634920634920635
links,2016-05-31,118,1,2,1.2372881355932204
links,2016-06-30,34,1,2,1.4411764705882353
links,2016-07-28,3917,1,2,1.0035741639009446
links,2016-09-06,1605,0,2,0.946417445482866
links,2016-09-30,22,1,2,1.5454545454545454
links,2016-11-02,11,1,2,1.6363636363636365
links,2016-12-06,15,1,2,1.2666666666666666
links,2017-01-10,151,0,2,0.4503311258278146
links,2017-01-31,19,1,2,1.4210526315789473
links,2017-03-08,45,1,2,1.3111111111111111
links,2017-04-04,33,1,2,1.6363636363636365
links,2017-05-22,980,0,3,1.2510204081632652
links,All,14838,0,3,1.0172529990564767
aliases,2015-10-09,20,0,3,1.1
aliases,2015-11-05,231,0,4,1.0865800865800865
aliases,2015-12-01,802,0,4,1.1483790523690773
aliases,2015-12-14,20,0,3,1.15
aliases,2016-01-21,47,0,4,1.1702127659574468
aliases,2016-01-25,6,0,2,1.0
aliases,2016-02-29,356,1,5,1.1601123595505618
aliases,2016-04-01,234,0,5,1.2222222222222223
aliases,2016-04-28,540,1,6,1.2092592592592593
aliases,2016-05-31,124,0,6,1.2419354838709677
aliases,2016-06-30,74,0,5,1.2837837837837838
aliases,2016-07-28,923,0,5,1.1722643553629468
aliases,2016-09-06,1719,0,6,0.24316463059918558
aliases,2016-09-30,27,1,4,1.4814814814814814
aliases,2016-11-02,6,1,2,1.1666666666666667
aliases,2016-12-06,14,1,3,1.3571428571428572
aliases,2017-01-10,132,0,3,1.2045454545454546
aliases,2017-01-31,13,1,1,1.0
aliases,2017-03-08,29,1,2,1.103448275862069
aliases,2017-04-04,43,0,4,1.4186046511627908
aliases,2017-05-22,276,1,3,1.105072463768116
aliases,All,5636,0,6,0.8898154719659332
acronyms,2015-10-09,18,0,2,0.9444444444444444
acronyms,2015-11-05,460,0,3,1.017391304347826
acronyms,2015-12-01,2817,0,5,0.9066382676606318
acronyms,2015-12-14,21,0,2,0.9523809523809523
acronyms,2016-01-21,19,0,2,1.105263157894737
acronyms,2016-01-25,6,0,2,1.1666666666666667
acronyms,2016-02-29,867,1,3,1.035755478662053
acronyms,2016-04-01,897,0,2,0.326644370122631
acronyms,2016-04-28,359,1,3,1.0947075208913648
acronyms,2016-05-31,71,0,3,1.0845070422535212
acronyms,2016-06-30,39,1,2,1.1282051282051282
acronyms,2016-07-28,1249,1,10,1.054443554843875
acronyms,2016-09-06,1224,0,3,0.2589869281045752
acronyms,2016-09-30,21,1,2,1.0476190476190477
acronyms,2016-11-02,3,1,1,1.0
acronyms,2016-12-06,10,1,1,1.0
acronyms,2017-01-10,997,0,2,0.0320962888665998
acronyms,2017-01-31,12,1,1,1.0
acronyms,2017-03-08,25,0,1,0.96
acronyms,2017-04-04,24,1,2,1.0833333333333333
acronyms,2017-05-22,461,1,2,1.0368763557483731
acronyms,All,9600,0,10,0.7326041666666666
types,2015-10-09,21408,0,2,1.000420403587444
types,2015-11-05,864,1,2,1.0081018518518519
types,2015-12-01,4243,1,2,1.0044779637049257
types,2015-12-14,26,1,2,1.7692307692307692
