Version,Total,New,Deleted,Changed,Active,Redirected,Obsolete
2015-09-22,48987,48987,0,0,47648,1062,277
2015-10-09,49942,955,0,21577,48598,1067,277
2015-11-05,51197,1255,0,2679,49722,1198,277
2015-12-01,51593,396,0,5580,50105,1211,277
2015-12-14,52744,1151,0,198,51256,1211,277
2016-01-21,56007,3263,0,838,54292,1438,277
2016-01-25,56034,27,0,474,54310,1447,277
2016-02-29,58355,2321,0,54310,56587,1491,277
2016-04-01,59991,1636,0,5951,58125,1589,277
2016-04-28,61720,1729,0,26835,59822,1621,277
2016-05-31,63975,2255,0,1830,62069,1629,277
2016-06-30,65118,1143,0,1009,63179,1662,277
2016-07-28,65223,105,0,8851,63215,1731,277
2016-09-06,66895,1672,0,5534,64846,1772,277
2016-09-30,67263,368,0,287,65201,1785,277
2016-11-02,68175,912,0,321,66107,1791,277
2016-12-06,69102,927,0,218,67021,1804,277
2017-01-10,72138,3036,0,66535,70013,1848,277
2017-01-31,73870,1732,0,669,71727,1866,277
2017-03-08,75844,1974,0,1071,73633,1933,278
2017-04-04,76579,735,0,526,74336,1963,280
2017-05-22,77177,598,0,3540,74523,2374,280
